epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
7,train,250000,391,1022.0204603580569,60,4220,0.1,1750000,250000,2.14956,0.015367879388445417,62492,1759.056937,1759.043177,142.12271948114892
7,test,125000,173,1343.4682080924858,120,3800,0.05,1750000,250000,2.14956,0,62492,2258.57959,499.5076589999999,250.2464131385822
8,train,250000,312,1633.0128205128206,140,5390,0.1,2000000,500000,2.37904,0.007724457658688004,124992,3912.268025,1653.6853030000002,151.17749401682866
8,test,125000,175,993.5428571428571,120,3250,0.05,2000000,500000,2.37904,0,124992,4419.985576,507.7019,246.20746938311635
9,train,250000,262,2086.6412213740455,0,5660,0.1,2250000,750000,2.72262,0.0053408343621664522,187492,6205.41229,1785.423495,140.0228017050935
9,test,125000,18,2134.4444444444443,600,3410,0.05,2250000,750000,2.72262,0,187492,6794.672055999999,589.2437399999999,212.13632239860542
10,train,250000,235,2766.5106382978715,320,5440,0.1,2500000,1000000,2.98757,0.0041350797341659544,249992,8669.902707000001,1875.2270250000001,133.3171912878122
10,test,125000,41,2867.560975609756,600,5250,0.05,2500000,1000000,2.98757,0,249992,9274.926755,605.008742,206.6085848392584
11,train,250000,204,3345.1470588235284,680,5520,0.1,2750000,1000000,2.89261,0.0036358788824045001,312492,11189.311656,1914.3815859999995,130.59047466203535
11,test,125000,97,3407.7319587628863,520,6270,0.05,2750000,1000000,2.89261,0,312492,11798.331511,609.0028669999992,205.25354932360304
